filename,inference_size,BP-1,BP-2,BP-3,BP-5,EPE,D1,inference_time_ms,peak_memory_mb
KITTI15-000080_10.png,375x1242,5.9415,1.7681,1.0985,0.7251,0.4641,1.0985,333.6654,1349.6919
KITTI15-000081_10.png,375x1242,7.8741,1.6870,0.9831,0.5481,0.4590,0.9831,468.7696,1349.6919
KITTI15-000082_10.png,375x1242,8.9322,1.3345,0.7539,0.5240,0.5097,0.7539,497.7117,1349.6919
KITTI15-000083_10.png,375x1242,12.0988,0.8282,0.4248,0.1717,0.5726,0.4248,440.6571,1349.6919
KITTI15-000084_10.png,375x1242,13.2301,4.1334,2.4466,1.1266,0.6402,2.4466,553.3257,1349.6919
KITTI15-000085_10.png,375x1242,6.1250,0.4992,0.1876,0.1095,0.3844,0.1876,343.4668,1349.6919
KITTI15-000086_10.png,375x1242,14.0493,2.0560,0.5675,0.1871,0.5234,0.5675,443.3556,1349.6919
KITTI15-000087_10.png,375x1242,30.5175,4.9301,2.0982,0.9379,0.8662,2.0982,349.9861,1349.6919
KITTI15-000088_10.png,375x1242,11.3207,2.4835,1.2178,0.7514,0.5698,1.2178,483.7201,1349.6919
KITTI15-000089_10.png,375x1242,7.8761,1.2244,0.4783,0.2069,0.4461,0.4783,320.7440,1349.6919
KITTI15-000090_10.png,375x1242,16.0013,6.5975,5.2428,2.7682,0.9125,5.2428,506.5806,1349.6919
KITTI15-000091_10.png,375x1242,42.0772,34.7557,27.3038,0.2744,1.6353,27.3038,535.8779,1349.6919
KITTI15-000092_10.png,375x1242,6.9872,1.0893,0.4825,0.1051,0.4187,0.4825,383.2843,1349.6919
KITTI15-000093_10.png,375x1242,30.5376,8.3726,1.3102,0.7469,0.8851,1.3102,463.2943,1349.6919
KITTI15-000094_10.png,375x1242,7.6458,0.9145,0.4194,0.2019,0.4040,0.4194,334.8758,1349.6919
KITTI15-000095_10.png,375x1242,17.8739,4.7552,1.3885,0.3146,0.6248,1.3885,486.3446,1349.6919
KITTI15-000096_10.png,375x1242,7.2392,0.9674,0.2930,0.0694,0.4122,0.2930,337.2579,1349.6919
KITTI15-000097_10.png,375x1242,8.1542,1.1363,0.4397,0.1284,0.4282,0.4397,507.1397,1349.6919
KITTI15-000098_10.png,375x1242,9.7845,1.2042,0.6950,0.4358,0.5563,0.6950,517.6110,1349.6919
KITTI15-000099_10.png,375x1242,7.0137,1.3923,0.4847,0.2713,0.3874,0.4847,323.3092,1349.6919
KITTI15-000100_10.png,375x1242,9.6021,1.4388,0.5094,0.2494,0.4865,0.5094,424.8767,1349.6919
KITTI15-000101_10.png,375x1242,6.8359,1.0850,0.3968,0.1500,0.4027,0.3968,482.4910,1349.6919
KITTI15-000102_10.png,375x1242,7.8813,0.9957,0.5297,0.2891,0.4749,0.5297,399.4224,1349.6919
KITTI15-000103_10.png,375x1242,6.7769,0.9171,0.5350,0.2381,0.4079,0.5350,508.9986,1349.6919
KITTI15-000104_10.png,375x1242,37.8226,16.2175,7.5030,1.4565,1.1229,7.5030,293.7222,1349.6919
KITTI15-000105_10.png,375x1242,10.7589,2.2808,1.2196,0.7473,0.5706,1.2196,330.7199,1349.6919
KITTI15-000106_10.png,375x1242,6.8893,1.0702,0.4356,0.1602,0.4244,0.4356,519.6264,1349.6919
KITTI15-000107_10.png,375x1242,12.3399,2.2298,1.2466,0.4793,0.5482,1.2466,326.6568,1349.6919
KITTI15-000108_10.png,375x1242,8.6963,1.4557,0.8715,0.4324,0.4999,0.8715,451.6401,1349.6919
KITTI15-000109_10.png,375x1242,5.9705,0.7606,0.4326,0.1388,0.3972,0.4326,327.3742,1349.6919
KITTI15-000110_10.png,375x1242,5.5382,0.9017,0.3903,0.1109,0.3502,0.3903,475.2579,1349.6919
KITTI15-000111_10.png,375x1242,9.2012,2.1828,1.7304,1.3866,0.6234,1.7304,323.7309,1349.6919
KITTI15-000112_10.png,375x1242,8.3281,1.8098,1.0855,0.6972,0.5174,1.0855,536.1102,1349.6919
KITTI15-000113_10.png,375x1242,10.8451,1.7507,0.9645,0.5842,0.6469,0.9645,347.9488,1349.6919
KITTI15-000114_10.png,375x1242,8.2900,2.1163,1.1280,0.6064,0.5264,1.1280,518.9800,1349.6919
KITTI15-000115_10.png,375x1242,15.2386,6.9880,1.0289,0.5882,0.5986,1.0289,355.3479,1349.6919
KITTI15-000116_10.png,375x1242,5.2242,1.5156,0.9409,0.5717,0.4594,0.9409,457.5677,1349.6919
KITTI15-000117_10.png,375x1242,6.3110,0.8110,0.4351,0.2094,0.3963,0.4351,444.1183,1349.6919
KITTI15-000118_10.png,375x1242,20.9443,4.4123,2.7285,1.8417,0.8569,2.7285,281.5914,1349.6919
KITTI15-000119_10.png,375x1242,8.6377,2.5258,1.5460,0.9558,0.5575,1.5460,401.1331,1349.6919
KITTI15-000120_10.png,375x1242,7.8109,2.1080,1.5042,1.1877,0.8914,1.5042,396.0760,1349.6919
KITTI15-000121_10.png,375x1242,7.1694,1.0916,0.3025,0.1466,0.4415,0.3025,457.6211,1349.6919
KITTI15-000122_10.png,375x1242,6.3933,1.6693,1.2104,0.8328,0.4674,1.2104,387.3034,1349.6919
KITTI15-000123_10.png,375x1242,6.9299,1.6436,1.0935,0.7430,0.4837,1.0935,324.7159,1349.6919
KITTI15-000124_10.png,375x1242,11.3039,1.6810,1.0207,0.7297,0.5609,1.0207,590.2181,1349.6919
KITTI15-000125_10.png,375x1242,6.5820,1.2429,0.9966,0.7220,0.4175,0.9966,333.9942,1349.6919
KITTI15-000126_10.png,375x1242,9.2723,1.8541,1.2181,0.7617,0.5211,1.2181,469.4295,1349.6919
KITTI15-000127_10.png,375x1242,8.3899,1.2572,0.6242,0.4255,0.5056,0.6242,355.5944,1349.6919
KITTI15-000128_10.png,375x1242,8.6179,1.0043,0.4783,0.2931,0.4479,0.4783,488.7505,1349.6919
KITTI15-000129_10.png,375x1242,9.0095,2.3085,1.2832,0.7675,0.5412,1.2832,334.2004,1349.6919
KITTI15-000130_10.png,375x1242,13.7674,2.3521,1.1673,0.7593,0.5393,1.1673,480.6781,1349.6919
KITTI15-000131_10.png,375x1242,8.1863,2.2703,0.9969,0.5318,0.4674,0.9969,361.4340,1349.6919
KITTI15-000132_10.png,375x1242,9.0324,2.3950,1.3859,0.8140,0.5530,1.3859,413.7375,1349.6919
